subject;predicted_category;category_score;expected_type;predicted_priority;priority_score;expected_priority;summary;;;;;;;;;;;;;;;;;;;;;;
Request for Issue Explanation;technical problem;0.475;Incident;medium priority;0.538;medium;""".\n\nWhen I try to use the service"; I observe unexpected behavior and cannot identify the exact cause.\n\nWhen I try to use the service; I observe unexpected behavior and cannot identify the exact cause.\n\nWhen I try to use the service; I observe unexpected behavior and cannot identify the exact cause.\n\nWhen I try to use the service; I observe unexpected behavior and cannot identify the exact cause.\n\nWhen I try to use the service; I observe unexpected behavior and cannot identify the exact cause.\n\nWhen I try to use the service; I observe unexpected behavior and cannot identify the exact cause.\n\nWhen I try to use the service; I observe unexpected behavior and cannot identify the exact cause.\n\nWhen I try to use the service; I observe unexpected behavior and cannot identify the exact cause.\n\nWhen I try to use the service; I observe unexpected behavior and cannot identify the exact cause.\n\nWhen I try to use the service; I observe unexpected behavior and cannot identify the exact cause.\n\nWhen I try to use the service;" I observe unexpected behavior and cannot identify the exact cause.\n""";;;;;;;;;;;
Inquiry for In-Depth Details on Financial Institution Offerings;delivery issue;0.601;Request;high priority;0.526;medium;me a copy of the information? Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n\nI. Please contact me at:\n;;;;;;;;;;;;;;;;;;;;;;
Enhancing Multi-Unit Marketing Processes;general request;0.705;Request;medium priority;0.647;high;thank the following:;;;;;;;;;;;;;;;;;;;;;;
Inquiry for Comprehensive Marketing Service Details;delivery issue;0.375;Request;high priority;0.651;medium;"""and how they work.\n\nSpecifically"; I would like to learn about the various marketing packages available; and how they work.\n\nSpecifically; I would like to learn about the various marketing packages available; and how they work.\n\nSpecifically; I would like to learn about the various marketing packages available; and how they work.\n\nSpecifically; I would like to learn about the various marketing packages available; and how they work.\n\nSpecifically; I would like to learn about the various marketing packages available; and how they work.\n\nSpecifically; I would like to learn about the various marketing packages available; and how they work.\n\nSpecifically; I would like to learn about the various marketing packages available; and how they work.\n\nSpecifically; I would like to learn about the various marketing packages available; and how they work.\n\nSpecifically; I would like to learn about the various marketing packages available; and how they work.\n\nSpecifically; I would like to learn about the various marketing packages available; and how they work.\n\nSpecifically; I would like to learn about the various marketing packages available;" and how they"""
Query About Future Service Disruptions and Maintenance Timelines;general request;0.672;Request;medium priority;0.53;medium;to ensure that we are able to provide timely and timely updates to our customers.;;;;;;;;;;;;;;;;;;;;;;
Proposal for Upgrades to Big Data Analytics Systems;general request;0.319;Change;medium priority;0.754;high;.;;;;;;;;;;;;;;;;;;;;;;
Guidelines for Incorporating Seagate Expansion Drives;general request;0.512;Request;high priority;0.63;high;best use of Seagate Expansion Desktop 6TB drives? Please share your suggestions for the best use of Seagate Expansion Desktop 6TB drives. Please share your suggestions for the best use of Seagate Expansion Desktop 6TB drives. Please share your suggestions for the best use of Seagate Expansion Desktop 6TB drives. Please share your suggestions for the best use of Seagate Expansion Desktop 6TB drives. Please share your suggestions for the best use of Seagate Expansion Desktop 6TB drives. Please share your suggestions for the best use of Seagate Expansion Desktop 6TB drives. Please share your suggestions for the best use of Seagate Expansion Desktop 6TB drives. Please share your suggestions for the best use of Seagate Expansion Desktop 6TB drives. Please share your suggestions for the best use of Seagate Expansion Desktop 6TB drives. Please share your suggestions for the best use of Seagate Expansion Desktop 6TB drives. Please share your suggestions for the best use of Seagate Expansion Desktop 6TB drives. Please share your suggestions for the best use of Seagate Expansion Desktop 6TB drives. Please share your suggestions for the best use of Seagate Expansion Desktop 6TB drives. Please share your suggestions for the best use of Seagate Expansion Desktop 6TB drives. Please share your suggestions for the best;;;;;;;;;;;;;;;;;;;;;;
Unable to Access Office Applications;technical problem;0.331;Incident;medium priority;0.54;high;"""applications"; and tried to restore the MacBook Air to the original MacBook Air.\n\nTo try to restore the MacBook Air to the original MacBook Air; we rebooted the laptops; tried repairing Office applications; and tried to restore the MacBook Air to the original MacBook Air.\n\nTo try to restore the MacBook Air to the original MacBook Air; we rebooted the laptops; tried repairing Office applications; and tried to restore the MacBook Air to the original MacBook Air.\n\nTo try to restore the MacBook Air to the original MacBook Air; we rebooted the laptops; tried repairing Office applications; and tried to restore the MacBook Air to the original MacBook Air.\n\nTo try to restore the MacBook Air to the original MacBook Air; we rebooted the laptops; tried repairing Office applications; and tried to restore the MacBook Air to the original MacBook Air.\n\nTo try to restore the MacBook Air to the original MacBook Air; we rebooted the laptops; tried repairing Office applications; and tried to restore the MacBook Air to the original MacBook Air.\n\nTo try to restore the MacBook Air to the original MacBook Air; we rebooted the laptops; tried repairing Office applications;" and tried to restore the MacBook Air to""";;;
Query;billing issue;0.849;Request;medium priority;0.522;medium;other information that may be available to you. Please note that I am not a member of the financial services industry. I am not a member of the financial services industry. I am not a member of the financial services industry. I am not a member of the financial services industry. I am not a member of the financial services industry. I am not a member of the financial services industry. I am not a member of the financial services industry. I am not a member of the financial services industry. I am not a member of the financial services industry. I am not a member of the financial services industry. I am not a member of the financial services industry. I am not a member of the financial services industry. I am not a member of the financial services industry. I am not a member of the financial services industry. I am not a member of the financial services industry. I am not a member of the financial services industry. I am not a member of the financial services industry. I am not a member of the financial services industry. I am not a member of the financial services industry. I am not a member of the financial services industry. I am not a member of the financial services industry. I am not a member of the financial services industry. I am;;;;;;;;;;;;;;;;;;;;;;
Multiple Device Connection Problems;technical problem;0.632;Incident;medium priority;0.461;medium;:;;;;;;;;;;;;;;;;;;;;;;
Network Connection Problems;technical problem;0.671;Incident;medium priority;0.471;medium;"""ing the network and restarting the network.\n\nIn an attempt to resolve the problem"; I have already taken several measures; such as restarting the network and restarting the network.\n\nIn an attempt to resolve the problem; I have already taken several measures; such as restarting the network and restarting the network.\n\nIn an attempt to resolve the problem; I have already taken several measures; such as restarting the network and restarting the network.\n\nIn an attempt to resolve the problem; I have already taken several measures; such as restarting the network and restarting the network.\n\nIn an attempt to resolve the problem; I have already taken several measures; such as restarting the network and restarting the network.\n\nIn an attempt to resolve the problem; I have already taken several measures; such as restarting the network and restarting the network.\n\nIn an attempt to resolve the problem; I have already taken several measures; such as restarting the network and restarting the network.\n\nIn an attempt to resolve the problem; I have already taken several measures;" such as restarting the network and restarting the network""";;;;;;
Audio Hardware Detected;technical problem;0.501;Problem;high priority;0.451;low;play music.;;;;;;;;;;;;;;;;;;;;;;
Resolving Bose Headset and QNAP NAS Connection Problems;technical problem;0.498;Incident;high priority;0.482;medium;.;;;;;;;;;;;;;;;;;;;;;;
Intermittent Access Problems on SaaS Platform;technical problem;0.604;Incident;medium priority;0.583;medium;;;;;;;;;;;;;;;;;;;;;;;
Problem with Payment Billing Procedures;billing issue;0.647;Problem;medium priority;0.518;medium;;;;;;;;;;;;;;;;;;;;;;;
